token_0,BIO_tag_0
Tuesday,
",",O
 ,O
20,
 ,O
Muharram,
 ,O
1442,
 ,O
/,O
 ,O
08,
 ,O
September,
 ,O
2020,
 ,O
Tuesday,
",",O
 ,O
20,
 ,O
Muharram,
 ,O
1442,
 ,O
/,O
 ,O
08,
 ,O
September,
 ,O
2020,
 ,O
Rabu,
 ,O
01,
 ,O
Jul,
 ,O
2020,
 ,O
17:00,
 ,O
WIB,
 ,O
Rep,
:,O
 ,O
Muhammad,
 ,O
Nursyamsi/,
 ,O
Red,
:,O
 ,O
Nidia,
 ,O
Zuraya,
 ,O
Menteri,
 ,O
BUMN,
 ,O
Erick,
 ,O
Thohir,
 ,O
meluncurkan,
 ,O
logo,
 ,O
baru,
 ,O
Kementerian,
 ,O
BUMN,
 ,O
di,O
 ,O
halaman,
 ,O
kantor,
 ,O
Kementerian,
 ,O
BUMN,
",",O
 ,O
Jakarta,
",",O
 ,O
Rabu,
 ,O
(,
1/7,
),
.,
 ,O
REPUBLIKA.CO.ID,
",",O
 ,O
JAKARTA,
 ,O
--,
 ,O
Menteri,
 ,O
Badan,
 ,O
Usaha,
 ,O
Milik,
 ,O
Negara,
 ,O
(,
BUMN,
),
 ,O
Erick,
 ,O
Thohir,
 ,O
secara,O
 ,O
resmi,
 ,O
menetapkan,
 ,O
akhlak,
 ,O
sebagai,O
 ,O
core,
 ,O
value,
 ,O
dari,O
 ,O
BUMN,
 ,O
pada,O
 ,O
Rabu,
 ,O
(,
1/7,
),
.,
 ,O
Penetapan,
 ,O
akhlak,
 ,O
sebagai,O
 ,O
core,
 ,O
value,
 ,O
BUMN,
 ,O
bersamaan,
 ,O
dengan,O
 ,O
acara,
 ,O
perubahan,
 ,O
logo,
 ,O
dan,O
 ,O
slogan,
 ,O
Kementerian,
 ,O
BUMN,
.,
``,
Hari,
 ,O
ini,O
 ,O
juga,O
 ,O
saya,O
 ,O
ingin,O
 ,O
menetapkan,
 ,O
akhlak,
 ,O
sebagai,O
 ,O
core,
 ,O
value,
 ,O
bukan,
 ,O
lip,
 ,O
service,
 ,O
karena,O
 ,O
kalau,
 ,O
kita,O
 ,O
bekerja,
 ,O
ada,O
 ,O
core,
 ,O
value,
",",O
 ,O
ini,O
 ,O
yang,O
 ,O
membuat,
 ,O
kita,O
 ,O
kuat,
",",O
'',
 ,O
ujar,
 ,O
Erick,
 ,O
saat,O
 ,O
meresmikan,
 ,O
perubahan,
 ,O
logo,
 ,O
dan,O
 ,O
slogan,
 ,O
Kementerian,
 ,O
BUMN,
 ,O
di,O
 ,O
halaman,
 ,O
kantor,
 ,O
Kementerian,
 ,O
BUMN,
 ,O
di,O
 ,O
Jalan,
 ,O
Medan,
 ,O
Merdeka,
 ,O
Selatan,
",",O
 ,O
Jakarta,
",",O
 ,O
Rabu,
 ,O
(,
1/7,
),
.Erick,
 ,O
menjadikan,
 ,O
akhlak,
 ,O
sebagai,O
 ,O
panduan,
 ,O
bagi,O
 ,O
manajemen,
 ,O
BUMN,
 ,O
untuk,O
 ,O
dapat,O
 ,O
bekerja,
 ,O
dengan,O
 ,O
benar,
 ,O
demi,O
 ,O
kepentingan,
 ,O
bangsa,
",",O
 ,O
bukan,
 ,O
kepentingan,
 ,O
pribadi,
 ,O
atau,O
 ,O
kelompok,
.,
 ,O
Erick,
 ,O
memerinci,
 ,O
akronim,
 ,O
akhlak,
 ,O
terdiri,
 ,O
atas,
 ,O
amanah,
",",O
 ,O
kompeten,
",",O
 ,O
harmonis,
",",O
 ,O
loyal,
",",O
 ,O
adaptif,
",",O
 ,O
dan,O
 ,O
kolaboratif.Erick,
 ,O
menilai,
 ,O
faktor,
 ,O
akhlak,
 ,O
sangat,
 ,O
vital,
 ,O
bagi,O
 ,O
BUMN,
 ,O
untuk,O
 ,O
maju,
.,
 ,O
Ia,O
 ,O
mencontohkan,
 ,O
poin,
 ,O
penting,
 ,O
loyal,
 ,O
yang,O
 ,O
harus,O
 ,O
menjadi,
 ,O
acuan,
 ,O
bagi,O
 ,O
manajemen,
 ,O
BUMN,
 ,O
bekerja,
 ,O
untuk,O
 ,O
kepentingan,
 ,O
bangsa,
 ,O
dan,O
 ,O
tidak,O
 ,O
menyalahgunakan,
 ,O
kewenangan,
 ,O
untuk,O
 ,O
kepentingan,
 ,O
pribadi,
 ,O
atau,O
 ,O
kelompok,
.,
``,
Ada,O
 ,O
53,
 ,O
kasus,
 ,O
hukum,
 ,O
di,O
 ,O
BUMN,
 ,O
yang,O
 ,O
kita,O
 ,O
nggak,O
 ,O
mau,
 ,O
terulang,
 ,O
lagi,O
",",O
 ,O
ini,O
 ,O
kenapa,O
 ,O
akhlak,
 ,O
penting,
",",O
'',
 ,O
ungkap,
 ,O
Erick,
.,
 ,O
Kata,
 ,O
akhlak,
 ,O
memang,
 ,O
lekat,
 ,O
dengan,O
 ,O
Erick,
 ,O
sejak,
 ,O
awal,
 ,O
menjabat,
 ,O
sebagai,O
 ,O
Menteri,
 ,O
BUMN,
.,
 ,O
Dalam,O
 ,O
setiap,O
 ,O
kesempatan,
",",O
 ,O
mantan,
 ,O
pemilik,
 ,O
Inter,
 ,O
Milan,
 ,O
itu,O
 ,O
selalu,
 ,O
menaruh,
 ,O
pesan,
 ,O
pentingnya,
 ,O
akhlak,
 ,O
bagi,O
 ,O
manajemen,
 ,O
BUMN,
.,
``,
InsyaAllah,
 ,O
saya,O
 ,O
yakini,
 ,O
dengan,O
 ,O
kerja,
 ,O
keras,
 ,O
kita,O
 ,O
semua,
 ,O
dan,O
 ,O
akhlak,
 ,O
sebagai,O
 ,O
core,
 ,O
value,
",",O
 ,O
bismillah,
 ,O
lillahi,
 ,O
taala,
",",O
 ,O
Allah,
 ,O
SWT,
 ,O
akan,O
 ,O
memudahkan,
",",O
'',
 ,O
kata,
 ,O
Erick,
.,
 ,O
Dapatkan,
 ,O
Update,
 ,O
Berita,
 ,O
Republika,
 ,O
Jumlah,
 ,O
Zona,
 ,O
Merah,
 ,O
Terus,
 ,O
Naik,
",",O
 ,O
Zona,
 ,O
Hijau,
 ,O
Turun,
 ,O
Optimisme,
 ,O
Tikus,
 ,O
Pithi,
 ,O
Antar,
 ,O
Bajo,
 ,O
Kalahkan,
 ,O
Gibran,
 ,O
di,O
 ,O
Solo,
 ,O
34,
 ,O
Pabrik,
 ,O
di,O
 ,O
Jabar,
 ,O
Jadi,
 ,O
Penyumbang,
 ,O
Klaster,
 ,O
Industri,
 ,O
Menakar,
 ,O
Harga,
 ,O
Vaksin,
 ,O
Merah,
 ,O
Putih,
 ,O
Eijkman,
 ,O
Abdul,
 ,O
Malik,
 ,O
Fadjar,
",",O
 ,O
Sang,
 ,O
Guru,
 ,O
dari,O
 ,O
Muhammadiyah,
 ,O
Liga,
 ,O
Indonesia,
 ,O
Sosok,
 ,O
Alfred,
 ,O
Riedl,
 ,O
tak,
 ,O
bisa,O
 ,O
dipisahkan,
 ,O
dari,O
 ,O
sepakbola,
 ,O
Indonesia,
.,
 ,O
Umum,
 ,O
Padahal,
",",O
 ,O
rekomendasi,
 ,O
KASN,
 ,O
bersifat,
 ,O
final,
 ,O
dan,O
 ,O
mengikat,
 ,O
atau,O
 ,O
wajib,
 ,O
dilaksanakan,
.,
 ,O
Umum,
 ,O
Ada,O
